stop_id,stop_name,stop_lat,stop_lon,zone
7651,KG KOTA 1,6.078894,102.228128,
7652,KG KOTA 2,6.075986,102.227461,
7653,KEDAI RUNCIT MUWARA,6.072656,102.226842,
7654,KG GAUNG,6.066975,102.226028,
7655,KG PENDEK,6.062414,102.2229,
7656,SK PENDEK,6.059264,102.220922,
7657,MASJID PENDEK,6.058044,102.220258,
7658,KK PENDEK,6.053578,102.217678,
7659,DARUL NISWAH DUN SALOR,6.052353,102.217556,
7660,MASJID KAMAL HASSAN,6.050244,102.215939,
7661,KG CHABANG TIGA PENDEK,6.048739,102.214247,
7662,KG TELUK KANDIS,6.046547,102.212386,
7663,MASJID NURUL HUDA,6.042453,102.207086,
7664,KG GERTAK LEMBU,6.04245,102.202047,
7665,MADRASAH POHON SAGU,6.040778,102.198133,
7666,KG JERULONG,6.039142,102.194167,
7667,SMK SALOR,6.038964,102.192467,
7668,PONDOK POLIS SALOR,6.038769,102.1898,
7669,MASJID MAHMUD,6.038247,102.186569,
7670,KG DATO’,6.037231,102.183344,
7671,KG PARIT CINA,6.036347,102.180578,
7672,MB GUESTHOUSE,6.035436,102.1771,
7673,KG GUA,6.034747,102.173933,
7674,KG BARU 1,6.033733,102.168422,
7675,KG BARU 2,6.033019,102.163906,
7676,MADRASAH AS SAADAH,6.033411,102.15915,
7677,KG SEBERANG PASIR MAS,6.034358,102.153992,
7678,PETRON SALOR,6.033686,102.150036,
7679,PETRONAS PASIR MAS,6.030747,102.141422,
7680,JPN PASIR MAS,6.034036,102.140997,
7681,SJKC YOK ENG,6.039656,102.141497,
7682,PASIR MAS,6.043456,102.143536,
7683,HENTIAN OPPOSITE SJKC YOK ENG,6.039408,102.141439,
7684,HENTIAN OPPOSITE JPN PASIR MAS,6.034072,102.141156,
7685,HENTIAN OPPOSITE PETRONAS PASIR MAS,6.032219,102.141483,
7686,KOMPLEKS MAHKAMAH PASIR MAS,6.028756,102.136978,
7687,TERMINAL BAS TASEK RAJA PASIR MAS,6.029278,102.131111,
7688,SMK MAHMUD MAHYIDIN,6.116097,102.214839,
7689,KG BARU LUAR,6.112114,102.213722,
7690,HIOK LEE,6.109353,102.212892,
7691,LORONG KUBUR,6.104497,102.211517,
7692,SK KUTAN,6.099367,102.209894,
7693,KG KUTAN 1,6.094517,102.208653,
7694,KG KUTAN 2,6.089722,102.207819,
7695,SMUA AL ULUM,6.083381,102.207094,
7696,KG TENDONG,6.076656,102.208522,
7697,BALAI POLIS TENDONG,6.072706,102.207728,
7698,SMK TENDONG,6.068553,102.206456,
7699,SK OTHMAN TALIB,6.068861,102.203261,
7700,KG BECHAH / JALAN CHEMPAKA,6.072869,102.197986,
7701,KG BECHAH / JALAN MELOR,6.074578,102.194117,
7702,MASJID HUTAN CHENGAL,6.076581,102.191725,
7703,KOLEJ VOKASIONAL PASIR MAS,6.078456,102.189669,
7704,WISMA BONDA JALAN TENDONG,6.082531,102.184856,
7705,KG KAYU TINGGI 2,6.086803,102.180597,
7706,KG KAYU TINGGI 1,6.089647,102.178903,
7707,MASJID AL-TAQWA BUNUT SUSU,6.091339,102.177886,
7708,KTM BUNUT SUSU,6.095561,102.176142,
7709,KG BUNUT SUSU,6.097489,102.173703,
7710,KG BECHAH PALAS,6.099128,102.169681,
7711,KG BINJAL,6.102336,102.164997,
7712,MASJID AS SOLIHIN BECHAH SEMAK,6.105514,102.159161,
7713,KUBUR BECHAH SEMAK,6.105572,102.156619,
7714,SK PENGGU,6.105808,102.154861,
7715,KG TOK LIMIN,6.105864,102.148378,
7716,KG PAYA ULAR,6.106164,102.145728,
7717,KG PANGKAL KALA,6.106833,102.140553,
7718,SK PANGKAL KALA,6.107525,102.137344,
7719,KG APA APA,6.107811,102.128803,
7720,KG ALOR MENGKUANG,6.110086,102.123222,
7721,KG GELANG MAS 2,6.115453,102.12015,
7722,KG GELANG MAS,6.11765,102.118933,
7723,KG CHAT,6.114242,102.115475,
7724,MERANTI,6.104114,102.107336,
7725,SMK MERANTI,6.100544,102.106828,
7726,KK MERANTI,6.096236,102.102375,
7727,TAMAN KEBUN RAJA,6.092081,102.100967,
7728,KG BANGGOL PAK MAT 2,6.086203,102.097956,
7729,KG BANGGOL PAK MAT 1,6.084194,102.096172,
7730,MASJID BAKONG LUAR,6.079583,102.088758,
7731,KG CHABANG BAKONG,6.075994,102.083303,
7732,KK POHON TANJUNG,6.069892,102.079297,
7733,KG LUBUK KAWAH,6.063569,102.079675,
7734,MASJID KG LUBUK KAWAH,6.062556,102.080936,
7735,KG GEBENG,6.059319,102.08985,
7736,PAAN SEAFOOD,6.057839,102.092606,
7737,KG GAJAH MATI,6.055069,102.096767,
7738,KG BANGGOL PERDANA,6.053508,102.100086,
7739,KG BANGGOL ARA,6.051186,102.105461,
7740,SK BANGGOL CHICHA,6.051486,102.112342,
7741,BANGGOL CHICHA,6.051878,102.115536,
7742,MAHAAD TAHFIZ AL ASRIAH,6.051722,102.117483,
7743,SRI AL FURQAN,6.052211,102.128744,
7744,KG KUBANG BADAK,6.050475,102.133072,
7745,WISMA KODMAS,6.049881,102.135114,
7746,SMK PASIR MAS,6.047961,102.140614,
7747,SK SULTAN IBRAHIM 1,6.046742,102.142556,
8259,MAAHAD MUHAMMADI TUMPAT,6.17874,102.177212,
